Bimestre	Disciplina	Relação com Projeto	Objetivo	Ementa	Conteúdo programático	Bibliografia Básica	Bibliografia Complementar	Funções Relacionadas
8	Introdução a Ciência de Dados	5	Utilização de ferramentas e bibliotecas para resolver problemas básicos de Ciência de Dados.	"Introdução à Ciência de Dados; Pandas, IPython, NumPy, Jupyter; Exemplos e estudos de caso; Descoberta de
conhecimentos em bases de dados; Mineração de dados, Preparação de dados; Pré -processamento de dados;
Modelagem de dados; Estudo de algoritmo preditivo simples (k-NN); Planejamento de experimentos; Análise de
resultados experimentais."	"Introdução à Ciência de Dados
Ferramental e Bibliotecas Python
Web Scraping e Uso de Arquivos
Descoberta e Preparação de Dados
Machine Learning
Predição e K-Nearest Neighbors (KNN)
Desenvolvendo um Projeto de Predição
Revisão"	"CARVALHO, A. C. P. de L. F. de. et al. Inteligência Artificial: Uma Abordagem de Aprendizado de Máquina. São Paulo: LTC, 2011.
MCKINNEY, W. Python para Análise de Dados. São Paulo: Novatec, 2018."	"PROVOST, F.; FAWCETT, T. Data Science for Business: What you need to know about data mining and data-analytic thinking. California: O'Reilly Media, 2013."	Pesquisa Científica, Desenvolvimento de Software
8	Estágio Supervisionado para Bacharelado em Ciência de Dados	2	"Levar o aluno ao desenvolvimento de atividades de caráter eminentemente pedagógico, que propiciem contatos com a
experiência da comunidade profissional e integração ao mercado de trabalho, bem como treinamento técnico-prático,
visando ao aprendizado de competência própria de atividade profissional e a contextualização curricular."	"O estágio supervisionado na Univesp se dá através da Coordenação Geral do Curso e segue as normas institucionais de
Estágio Supervisionado. Estágio curricular obrigatório deve ser realizado em empresas ou órgãos públicos ou privados das
mais diversas áreas, sob supervisão de um profissional da área de Ciências de dados com projeto alinhado ao
desenvolvimento pedagógico do curso. As atividades a serem desenvolvidas estão na Sala Virtual de Estágio no
BlackBoard."	"Percorrendo as áreas de atuação do cientista de dados
Como solicitar o estágio
Estágio: habilidades, formação e carreira
Relatório de atividades
Equivalência de estágio"	"BIANCHI, Anna Cecilia de Moraes; ALVARENGA, Marina; BIANCHI, Roberto. Manual de orientação: estágio supervisionado. 4ª ed. São Paulo: Cengage Learning, 2009.
ROESCH, Sylvia Maria Azevedo. Projetos de estágio e de pesquisa em administração: guia para estágios, trabalhos de conclusão, dissertações e estudos de caso. 3ª ed. São Paulo: Atlas, 2013.
BRASIL. MINISTÉRIO DA EDUCAÇÃO. Resolução CNE/CES n. 5, de 16 de novembro de 2016.
ZORZO, Avelino Francisco; NUNES, Daltro; MATOS, Ecivaldo et al. Referenciais de formação para os cursos de graduação em computação 2017."	"AMARAL, Fernando. Introdução à Ciência de Dados. [s.i.]: Alta Books, 2016.
BORSCHIVER, Suzana. Technology Roadmap: Planejamento Estratégico para alinhar Mercado-Produto-Tecnologia. [s.i.]: Interciência, 2016.
PROVOST, F.; FAWCETT, T. Data Science for Business. 2013.
BLUM, R. M. S. O.; SILVA B. M. G.; ABRUSIO, J. C. (Coord.). Manual de Direito Eletrônico e Internet. [s.i.]: Aduaneiras, 2006."	Gestão Acadêmica, Gestão do TCC
9	Engenharia de Software	5	Analisar, projetar, testar e entregar sistemas de software.	"Noções de Processo de Software (Modelos de Ciclos de Vida Clássicos e Ágeis). Engenharia de Requisitos (Técnicas de
Elicitação ou Levantamento de Requisitos). Arquitetura e Projeto de Software (Estilos Arquiteturais, Padrões de
Projeto, Refatoração, Anomalias, Reutilização com Componentes e Frameworks). Testes (Estratégias de Teste,
Desenvolvimento Dirigido por Testes, Teste Funcional e Estrutural, Teste de Desempenho e Segurança). Entrega
Contínua (Integração Contínua, Testes Automatizados, Contêineres, Gerência de Configuração e Processos de
Liberação de Software)."	"Processo de software
Engenharia de requisitos
Arquitetura e projeto de software
Reúso de software
Estratégias, técnicas e teste de software
Tipos de teste de software e desenvolvimento dirigido por testes
Entrega contínua
Revisão"	"PFLEEGER, S. L. Engenharia de software: teoria e prática. 2. ed. São Paulo: Pearson Prentice Hall, 2004.
PRESSMAN, R. S. Engenharia de software: uma abordagem profissional. 7. ed. Porto Alegre: AMGH, 2011.
SOMMERVILLE, I. Engenharia de software. São Paulo: Pearson, 2019."	"BEZERRA, E. Princípios de análise e projeto de sistemas com UML. 3. ed. Rio de Janeiro: Campus, 2015.
BOOCH, G.; RUMBAUGH, J.; JACOBSON, I. UML: guia do usuário. Rio de Janeiro: Campus, 2005.
CARVALHO, A.; CHIOSSI, T. Introdução à engenharia de software. Campinas: Unicamp, 2001.
MEDEIROS, E. Desenvolvendo software com UML definitivo 2.0. São Paulo: Pearson Makron Books, 2004.
YOURDON, E. Análise estruturada moderna. Série Yourdon Press. Rio de Janeiro: Campus, 1990."	"Desenvolvimento de Software, Gestão da Proposta, Documentação de Software"
9	Modelagem e Inferência Estatística	4	Desenvolver o conceito de modelos e inferência em conjuntos de dados.	"Regressão linear simples; Análise de ajuste; Estudo dos resíduos; Regressão múltipla; Regressão Bayesiana; Violações de
hipóteses básicas; Seleção de modelos; Multicolinearidade; Transformações de variáveis; Regressão não linear; Modelos
lineares generalizados."	"Regressão linear simples
Análise de ajustes
Teste de hipótese e Previsão da resposta
Adequações do modelo e modelos não lineares
Métodos de regressão gerais, Modelos Logístico e polinomial
Regressão múltipla parte 1
Regressão múltipla parte 2
Revisão"	"DEVORE, J. L. Probabilidade e Estatística Para Engenharia e Ciências. São Paulo: Cengage Learning, 2015.
CASTANHEIRA, Nelson Pereira. Estatística aplicada a todos os níveis. 2018. Intersaberes.
MONTGOMERY, D. C.; RUNGER, G. C. Estatística Aplicada e Probabilidade para Engenheiros. 5. ed. São Paulo: LTC, 2012."	"CASELLA, George; BERGER, Roger. Inferência Estatística. 2010. Cengage Learning."	Pesquisa Científica
9,5	Projeto Integrador em Computação II	5	"Desenvolver um software com framework web que utilize banco de dados, inclua script web (Javascript), nuvem, uso
de API, acessibilidade, controle de versão e testes. Opcionalmente, incluir análise de dados."	"Resolução de problemas. Levantamento de requisitos. Desenvolvimento web com framework. HTML. CSS. Linguagem
de script. Banco de Dados. Controle de Versão. Nuvem. API. Acessibilidade. Testes. Análise de dados."	"Análise do cenário
Entrega do plano de ação e definição do tema e do problema
Levantamento bibliográfico e estruturação
Entrega do relatório parcial e construção da proposta de solução
Análise dos resultados
Finalização da solução
Entrega do relatório final e do vídeo"	"CASALE, A. Aprendizagem baseada em problemas: desenvolvimento de competências para o ensino em engenharia. 2013.
CAVALCANTI, C. M. C. Contribuições do design thinking para concepção de interfaces de ambientes virtuais de aprendizagem centradas no ser humano. 2015.
GERHARDT, T. E; SILVEIRA, D. T. Métodos de pesquisa. Porto Alegre: Editora UFRGS, 2009."	"CIFREDO-CHACÕN, M. D. L. A.; QUIRÕS-OLOZÁBAL, A.; GUERRERO-RODRÍGUEZ, J. M. Computer architecture and FPGAs: a learning-by-doing methodology for digital-native students. 2015.
PAPAVLASOPOULOU, S.; GIANNAKOS, M. N.; JACCHERI, L. Empirical studies on the Maker Movement, a promising approach to learning: a literature review. 2017.
STUBER, E. C. Inovação pelo design: uma proposta para o processo de inovação através de workshops utilizando o design thinking e o design estratégico. 2012.
TAN, M.; YANG, Y.; YU, P. The influence of the maker movement on engineering and technology education. 2016.
YIN, R. K. Estudo de caso: planejamento e métodos. Porto Alegre: Bookman, 2015"	Desenvolvimento de Software, Gestão do TCC
10	Geometria Analítica e Álgebra Linear	3	"Apresentar o conteúdo de Geometria Analítica e Álgebra Linear, com material complementar, tendo em vista aplicações
na solução de problemas práticos, tecnológicos e da natureza."	"Sistemas Lineares; Vetores; Operações; Bases; Sistemas de Coordenadas; Distância: Norma e Ângulo; Produtos Escalar
e Vetorial; Retas no Plano e no Espaço; Planos; Posições Relativas, Interseções Distância e Ângulos; Circulo e Esfera;
Coordenadas Polares, Cilíndricas e Esféricas; Seções Cônicas, Classificação; Espaços Vetoriais Reais; Subespaços; Base
e Dimensão; Transformações Lineares e Matrizes; Núcleo e Imagem; Projeções; Autovalores e Autovetores; Produto
Interno; Matrizes Reais Especiais; Diagonalização."	"Matrizes
Sistemas Lineares
Determinantes de Matrizes
Geometria Analítica no Plano
Vetores no Plano e no Espaço
Geometria Analítica no Espaço
Transformações Lineares e Espaços Vetoriais
Revisão"	"ANTON, H.; RORRES, R. Álgebra linear com aplicações. Porto Alegre: Bookman, 2012.
BOULOS P.; CAMARGO I. Geometria analítica. São Paulo: Prentice-Hall, 2005.
VENTURI, J. J. Álgebra vetorial e geometria analítica. Curitiba: Artes Gráficas e Editora Unificado, 2009."	"ANTON, H.; BUSBY, R. C. Álgebra linear contemporânea. Porto Alegre: Bookman, 2006.
CALLIOLI, C. A.; COSTA, R. F.; DOMINGUES, H. Álgebra linear e aplicações. São Paulo: Saraiva, 2005.
FRANCO, Neide. Álgebra Linear. São Paulo: Pearson Education do Brasil, 2016.
MIRANDA, D.; GRISI, R.; LODOVICI, S. Geometria analítica e álgebra linear. Santo André, SP: UFABC, 2015.
SANTOS, R. J. Um curso de geometria analítica e álgebra linear. Belo Horizonte: UFMG, 2012."	Pesquisa Científica
10	Mineração de Dados	5	Apresentar as várias técnicas de mineração estatística de dados.	Introdução à mineração de dados. Análise estatística de dados. O processo de descoberta do conhecimento. Segmentação de sumarização de dados. Métodos de classificação supervisionada. Medidas de capacidade preditiva. Análise de associação. Análise de agrupamentos. Métodos de redução de dimensionalidade. Técnicas de seleção de atributos. Combinação de classificadores. Mineração com Restrições (Web Mining).	"Introdução à mineração de dados e descoberta de conhecimento
Pré-processamento de dados e redução de dados
Análise descritiva de dados
Métodos de classificação supervisionada
Análise de agrupamento
Análise de associação
Detecção de anomalias"	"CARVALHO, A. C. P. de L. F. et al. Inteligência artificial: uma abordagem de aprendizado de máquina. Rio de Janeiro: LTC, 2011.
CASTRO, L. N. de; FERRARI, D. G. Introdução à mineração de dados: conceitos básicos, algoritmos e aplicações. São Paulo: Saraiva, 2016.
MORAIS, I. S. D. et al. Introdução a big data e internet das coisas (IoT). Porto Alegre: Grupo A, 2018."	"HASTIE, T.; TIBSHIRANI, R.; FRIEDMAN, J. The elements of statistical learning: data mining, inference, and prediction. Berlim: Springer-Verlag, 2001.
THEODORIDIS, S.; KOUTROUMBAS, K. Pattern recognition. Cambridge: Academic Press, 2008."	Pesquisa Científica
11	Infraestrutura de Sistemas de Software Redes, Nuvem	3	Compreender e aplicar conceitos de comunicação através de redes de computadores e forma de organização de sistemas em nuvem.	"Redes de computadores e a internet. Noções de redes TCP/IP: redes de pacotes, broadcast, unicast, multicast, pacotes TCP/UDP/ICMP, endereços IPv4, DNS, CIDR, domínio de broadcast, conceito de roteamento, endereços MAC, mapeamento IP- >MAC (ARP), DHCP, hubs, switches, bridges, roteadores, portas (TCP/UDP), firewalls, DNAT/SNAT, IPv6. Noções de segurança em rede. Máquinas virtuais. Computação em nuvem: serviços comuns (VMs, BDs, armazenamento em buckets, load balancing etc.), elasticidade, efemeridade X persistência, redundância e tolerância a falhas. Contêineres e desenvolvimento usando contêineres. Noções de uso do docker e do openshift"	"Redes de Computadores e a Internet
Modelagem da Infraestrutura Computacional para Aplicações em Larga Escala
Computação em Nuvem
Virtualização
Arquiteturas SOA e Web Services
Fundamentos de Arquiteturas de Micro Serviços
Estudos de caso de Infraestrutura para Sistemas de Software
Revisão"	"KUROSE, J. F.; ROSS, K. W. Redes de Computadores e a Internet. 6ª ed. [s.i.]: Pearson, 2014.
TANENBAUM, A. S. J.; WETHERALL, D. J. Redes de Computadores. 5ª ed. [s.i.]: Pearson, 2011.
VITALINO, J. F. N.; CASTRO, M. A. N. Descomplicando o Docker. [s.i.]: Brassport, 2018."	"BARRETT, D. Redes de Computadores. [s.i.]: Editora LTC, 2010.
CASTELO BRANCO, K.; TEIXEIRA, M.; GURGEL, P. Redes de Computadores. [s.i.]: Campus, 2014.
FOROUZAN, B. A. Redes de Computadores: Uma Abordagem Top Down. [s.i.]: McGraw Hill, 2012.
MOTA FILHO, J. E. Análise de Tráfego em Redes TCP/IP. [s.i.]: Novatec, 2013.
TORRES, G. Redes de Computadores. 2ª ed. [s.i.]: Nova Terra, 2016."	Desenvolvimento de Software
11	Visualização Computacional	5	Desenvolver habilidades de apresentação de dados, relacionadas a interfaces e modelos de agregação e consolidação.	Abstração de dados; Visualização de dados tabulares (gráficos de pontos, de barras, de dispersão, mapas de calor entre outros); Visualização de dados espaciais (campos escalares, linhas de contorno, visualização volumétrica, campos vetoriais) e Redução de itens e atributos (filtragem e agregação).	"Introdução à Visualização de Dados e Análise de Dados
Visualização de dados em Big Data
Data storytelling/métricas e abordagens de apresentação de dados
Padrões cognitivos e efeitos visuais para apresentação dos dados
Ferramentas de visualização de dados
Exemplos de visualização e análise de dados
Entrevistas com especialistas
Revisão"	"MILANI, Alessandra Maciel Paz; et al. Visualização de Dados. SAGAH, 2020.
SEGURADO, Valquiria Santos. Projeto de interface com o usuário. Pearson, 2017.
JÚNIOR, José Fernandes Chaves. Ferramenta de Desenvolvimento – Engine Unity. Érica, 2015.
BENYON, D. Interação Humano-computador; 2ª ed. Pearson, 2011."	Manuais das ferramentas e frameworks utilizados.	"Desenvolvimento de Software, Formatação e Apresentação"
11,5	Projeto Integrador em Computação III	5	Desenvolver um software com framework web ou aplicativo que utilize banco de dados, inclua script web (Javascript), nuvem, acessibilidade, controle de versão, integração contínua e testes. Incluir um dos seguintes requisitos: uso e fornecimento de API, análises de dados e IoT.	Resolução de problemas; Levantamento de requisitos; Desenvolvimento web com framework; Desenvolvimento de aplicativo; HTML, CSS; Linguagem de script; Banco de Dados; Controle de Versão; Nuvem; API; Acessibilidade; Integração Contínua; Testes; Análise de dados; IoT.	"Análise do cenário
Entrega do plano de ação e definição do tema e do problema
Levantamento bibliográfico e estruturação
Entrega do relatório parcial e construção da proposta de solução
Análise dos resultados
Finalização da solução
Entrega do relatório final e do vídeo"	"CASALE, A. Aprendizagem baseada em problemas: desenvolvimento de competências para o ensino em engenharia. 2013.
CAVALCANTI, C. M. C. Contribuições do design thinking para concepção de interfaces de ambientes virtuais de aprendizagem centradas no ser humano. 2015.
GERHARDT, T. E; SILVEIRA, D. T. Métodos de pesquisa. Porto Alegre: Editora UFRGS, 2009."	"CIFREDO-CHACÕN, M. D. L. A.; QUIRÕS-OLOZÁBAL, A.; GUERRERO-RODRÍGUEZ, J. M. Computer architecture and FPGAs: a learning-by-doing methodology for digital-native students. 2015.
PAPAVLASOPOULOU, S.; GIANNAKOS, M. N.; JACCHERI, L. Empirical studies on the Maker Movement, a promising approach to learning: a literature review. 2017.
STUBER, E. C. Inovação pelo design: uma proposta para o processo de inovação através de workshops utilizando o design thinking e o design estratégico. 2012.
TAN, M.; YANG, Y.; YU, P. The influence of the maker movement on engineering and technology education. 2016.
YIN, R. K. Estudo de caso: planejamento e métodos. Porto Alegre: Bookman, 2015."	Desenvolvimento de Software, Gestão do TCC
12	Aprendizado de Máquinas	5	"Desenvolver conceitos de aprendizado de máquinas, com seus algoritmos e situações de uso.
"	Conceitos básicos e tarefas de aprendizagem; Algoritmos de indução de árvores de decisão; Aprendizado de regras de classificação; Algoritmos probabilísticos; Agrupamento de dados; Aprendizado baseado em instâncias; Algoritmos genéticos; Estimação de acurácia; Comparação de modelo; Conceitos básicos de agrupamento de dados e Agrupamento de dados por distância: Algoritmo k-médias, Fuzzy C-Means, Gustafson-Kessel.	"Conceitos básicos de Aprendizado de Máquina / Classificação usando Árvores de Decisão
Algoritmos Probabilísticos
-Aprendizado baseado em maximização de margens
Agrupamento de Dados / Aprendizado baseado em distâncias
Algoritmos Genéticos
Estimação de Acurácia e Comparação de Modelos
Revisão"	"CARVALHO, André Carlos Ponce de Leon Ferreira de. et al. Inteligência artificial: Uma Abordagem de Aprendizado de Máquina. São Paulo: LTC, 2011.
MEDEIROS, Luciano Frontino de. Inteligência artificial aplicada uma abordagem introdutória. Curitiba: Intersaberes, 2018."	"GERON, Aurelien Mãos à Obra: Aprendizado de Máquina com Scikit-Learn & TensorFlow. São Paulo: O’Reilly. 2019."	Pesquisa Científica, Desenvolvimento de Software
12	Computação Escalável	4	Permitir que o aluno saiba avaliar questões relacionadas a desempenho de aplicações e propor soluções escaláveis.	Avaliação de desempenho e perfilamento (profiling). Ferramentas de teste de carga (como Jmeter). Escalabilidade horizontal e vertical. Paralelismo e concorrência. Granularidade. Problemas facilmente paralelizáveis. Sistemas multicore e sistemas distribuídos. Conceito e uso de aceleradores (GPUs, FPGAs etc.) e bibliotecas de apoio. Bibliotecas para processamento de alto desempenho (Pandas, Numpy etc.). Ferramentas Map/Reduce para Big Data (como Spark). Ferramentas para gestão de sistemas distribuídos com containers (OpenShift)	"Introdução à computação paralela e distribuída
Paralelismo, concorrência e escalabilidade
Infraestrutura para computação paralela e distribuída
Frameworks para computação paralela
Ferramentas para processamento de dados em larga escala
Avaliação de desempenho, carga de trabalho em aplicações e ferramentas de teste
OpenShift: introdução, arquitetura e deploy de aplicações
Revisão"	"BRYANT, R.; O'HALLARON, D. R. Computer Systems: A Programmer's Perspective. 2. ed. Boston: Pearson Education, 2003.
HAGER, G.; WELLEIN, G. Introduction to High Performance Computing for Scientists and Engineers. Boca Raton: CRC Press, 2010."	"DREPPER, U. What Every Programmer Should Know About Memory. Red Hat, 2007.
FOG, A. Optimizing software in C++: An optimization guide for Windows, Linux, and Mac platforms. Agner, 2022.
GRAMA, A. et al. Introduction to Parallel Computing: Design and analysis of algorithms. Noida: Pearson India, 2003."	Desenvolvimento de Software, Pesquisa Científica
13	Impactos da Computação na Sociedade	2	Compreender os impactos da utilização da computação nos mais variados setores da sociedade. Analisar os impactos de sua utilização em relação à ética, cidadania e sociedade.	A computação é utilizada nos mais variados setores da sociedade. A análise dos impactos de sua utilização, além dos aspectos éticos envolvidos, bem como a evolução e mudanças históricas associadas, são fundamentais para a formação dos profissionais de computação.	"O Profissional de computação: formação e regulamentação da profissão
Ética em computação, gênero e tecnologias
Novas tecnologias e as cidades do futuro
Sustentabilidade e computação
Tecnologias e acessibilidade
Direitos autorais, licenças e patentes
Software livre, ética e inteligência artificial
Revisão"	"BLUM, Rita Peixoto F. O Direito à Privacidade e à Proteção dos Dados do Consumidor. 2nd edição. Grupo Almedina (Portugal), 2018.
SPANHOL, Fernando, J. et al. Tecnologias da Informação e Comunicação na Segurança Pública e Direitos Humanos. 2nd edição. Editora Blucher, 2016.
MACIEL, Cristiano; VITERBO, José (Org.). Computação e sociedade: a profissão - volume 1. [e-book]. 1ª edição. Cuiabá-MT: EdUFMT Digital, 2020.
MACIEL, Cristiano; VITERBO, José (Org.). Computação e sociedade: a sociedade - volume 2. [e-book]. 1ª edição. Cuiabá-MT: EdUFMT Digital, 2020.
MACIEL, Cristiano; VITERBO, José (Org.). Computação e sociedade: a tecnologia - volume 3. [e-book]. 1ª edição. Cuiabá-MT: EdUFMT Digital, 2020."	"BATISTA, Sueli Soares dos, S.; FREIRE, Emerson. Sociedade e Tecnologia na Era Digital. Editora Saraiva, 2014.
InVesalius. Plataforma open source para reconstrução, no formato 3D, de imagens 2D geradas em exames realizados em equipamentos de tomografia computadorizada ou ressonância magnética.
LOPES FILHO, Artur R. I. et. al. Ética e Cidadania, 2nd Edition.
SÁ, Antônio Lopes D. Ética Profissional. Grupo GEN, 2019.
SILVA, José Vitor D. Bioética: Visão Multidimensional. Editora Saraiva, 2010."	Gestão Acadêmica
13	Redes Neurais	5	Apresentar os conceitos básicos de redes neurais, suas formas de organização e mecanismos de funcionamento.	Fundamentos Biológicos; Neurônio Artificial; Arquitetura das redes neurais; Perceptron e Adalaine; Normalização dos dados; Redes MLP; Rede de funções de base radial; Modelo de Hopfield; Modelo de Kohonen; Redes recorrentes e Algoritmo Backpropagation.	"Introdução às Redes Neurais Artificiais
Arquiteturas de redes, preparação dos dados e modelos lineares
Redes Neurais Multilayer Perceptron (MLP) e o Algoritmo de Retropropagação
Otimização, treinamento e regularização em redes MLP
Introdução às redes de funções de base radial (RBF) e aos mapas auto-organizáveis (SOM)
Máquinas baseadas em energia: Boltzmann e Hopfield
Redes recorrentes e suas principais arquiteturas
Revisão"	"LUGER, George F. Inteligência artificial. Pearson, 2013.
NORVIG, P.; Inteligência Artificial. 3ª Ed.; Elsevier, 2013.
HAYKIN, Simon. Redes Neurais: Princípios e Prática. Bookman, 2011.
CARVALHO, André Carlos Ponce de Leon Ferreira de; FACELI, Katti; LORENA, Ana Carolina; GAMA, João. Inteligência. Artificial - Uma Abordagem de Aprendizado de Máquina. LTC, 2011."	"AVILA, R. N. P. Inteligência Artificial - Redes Neurais e Robótica; Ciência Moderna, 2016.
CARVALHO, A. Inteligência Artificial - Uma Abordagem de Aprendizado de Máquina. LTC, 2011.
ROSA, J. L. G. Fundamentos da Inteligência Artificial. LTC, 2011.
LIMA, I.; PINHEIRO, C.; OLIVEIRA, F. S. Inteligência Artificial. Elsevier, 2014.
Artigos recentes da área."	Pesquisa Científica, Desenvolvimento de Software
13,5	Projeto Integrador em Computação IV	5	Desenvolver análise de dados em escala utilizando algum conjunto de dados existentes ou capturados por IoT e aprendizagem de máquina. Preparar uma interface para visualização dos resultados.	Resolução de Problemas; Visualização de dados; Nuvem; Projeto IoT; Aprendizagem de Máquina				Desenvolvimento de Software, Gestão do TCC
14	Aprendizado Profundo	5	Aprimorar os conceitos de redes neurais apresentando o aprendizado profundo, os tipos de algoritmos e seus usos.	Introdução aos conceitos de deep learning (necessidades de hardware, back-end, front-end); Convolutional Neural Networks – CNNs (histórico, arquiteturas, treinamento, aplicações, práticas); Recurrent Neural Networks – RNN (histórico, arquiteturas, treinamento, aplicações, práticas); Unsupervised Learning networks (autoencoders, sparse coding): histórico, arquiteturas, treinamento, aplicações, práticas); Reinforced Learning networks (histórico, arquiteturas, treinamento, aplicações, práticas).	"Introdução ao Aprendizado Profundo
Redes Convolucionais
Redes Recorrentes
Introdução aos Autoencoders
Modelos de Redes Neurais Generativas
Aprendizado por Reforço
Tópicos Avançados em Aprendizado Profundo
Revisão"	"CARVALHO, A. C. P. de L. F. de et al. Inteligência Artificial: Uma Abordagem de Aprendizado de Máquina. São Paulo: LTC, 2011.
NORVIG, P. Inteligência Artificial. 3. ed. São Paulo: Elsevier, 2013."	"GOODFELLOW, I. Deep Learning. Massachusetts: MIT Press, 2016"	Pesquisa Científica, Desenvolvimento de Software
14	Visão Computacional	2	Apresentar os principais conceitos envolvidos na aquisição, processamento e análise de imagens digitais. Preparar os alunos para o uso de desenvolvimento de sistemas de processamento e análise de imagens.	Conceitos básicos de processamento de imagens, correspondências e arestas, álgebra linear e coordenadas homogêneas, representações de rotações. Projeções ortográficas, perspectivas e afins. Câmeras e suas calibrações. Matriz essencial, matriz fundamental, homografia, RANSAC. Fatoração rígida e não rígida. Rastreamento, filtro de Kalman e de partículas. Localização e reconhecimento de objetos	"Introdução à Visão Computacional
Pré-processamento de imagens
Imagens coloridas e câmeras
Aprendizado de máquina
Segmentação de imagens
Classificação de imagens
Reconhecimento de objetos
Revisão"	"DAVIES, E. R. Computer Vision: principles, algorithms, applications, learning. Massachusetts: Academic Press, 2017.
CASTLEMAN, R. Digital Image Processing. New Jersey: Prentice Hall, 1995.
SZELISKI, R. Computer Vision: algorithms and applications. New Jersey: Prentice Hall, 2010."	"DUDA, R. O.; HART, P. E. Pattern Classification and Scene Analysis. New Jersey: John Wiley & Sons, 1973.
KONG, T. Y.; ROSENFELD, A. Digital Topology: Introduction and Survey. Computer Vision, Graphics and Image Processing, v. 48, p. 357-393, 1989."	Pesquisa Científica, Desenvolvimento de Software
15	Processamento de Linguagem Natural 	2	Introduzir conceitos de técnicas de interpretação da linguagem humana por sistemas computacionais.	Introdução ao processamento de linguagem natural; aplicações de PLN; gramáticas e análise sintática (classificação de Chomsky); técnicas de análise semântica; modelos de representação de conhecimento; representação lógica; semântica procedimental e representações híbridas.	"Introdução ao Processamento de Linguagem Natural
Corpus e Similaridade Textual
Modelos de Linguagem e Representações Vetoriais
Embeddings
Aprendizado de máquina
Classificação de textos
Análise de sentimentos
Revisão"	"LUGER, G. F. Inteligência artificial. São Paulo: Pearson, 2013."	"EISENSTEIN, J. Introduction to Natural Language Processing. Massachusetts: MIT Press, 2019."	Pesquisa Científica, Desenvolvimento de Software
15	Segurança da Informação	2	Apresentar os conceitos básicos e ferramentas de segurança da informação.	Confidencialidade, integridade, disponibilidade e autenticidade; privacidade; políticas de segurança; monitoramento e backups (locais e remotos); permissões de acesso padrão e estendidas, controle de privilégios POSIX (capabilities); autenticação e autorização; fatores de autenticação e autorização (saber algo, ter algo, ser algo); autenticação e autorização com múltiplos fatores; programas maliciosos e spam; noções de uso de protocolos de criptografia simétrica e assimétrica: pgp/gpg, ssh; HTTPS, certificados, autoridades certificadoras e Let's Encrypt; hashes criptográficos e assinaturas digitais; gestão de senhas; segurança em redes: firewalls, prevenção e detecção de invasões (IPS e IDS), VPNs, vulnerabilidades e atualizações de software; segurança em dispositivos e sistemas IoT.	"Segurança da Informação
Confidencialidade
Códigos de Autenticação de Mensagens e Funções Hash
Criptografia Assimétrica e Certificados Digitais
Mecanismos de Autenticação e Softwares Maliciosos
Aspectos Relacionados à Invasão de Sistemas e Medidas de Segurança
Segurança em Nuvens Computacionais e em Internet das Coisas
Revisão"	"BOSWORTH S., KABAY E. M., WHYNE E. Computer Security Handbook. 5. ed. New York: Willey .2014.
BRANQUINHO, M. A. et al. Segurança de Automação Industrial e SCADA. Rio de Janeiro: Elsevier, 2014.
STALLINGS W., BROWN, L. Computer Security: Principles and Practices. 3. ed. London: Pearson, 2016."	"BEJTLICH, R. The Practice of Network Security Monitoring. San Francisco: No Starch Press, 2013.
BOLLINGER, J., ENRIGHT, B., VALITES, M. Crafting the InfoSec Playbook: Security Monitoring and Incident Response Master Plan. Sebastopol: O'Reilly Media, 2015.
FERGUSON, F., SCHNEIER, B., KOHNO, T. Cryptography Engineering: Design Principles and Practical Applications. New York: Wiley, 2010.
LUTTGENS, J., PEPE, M., MANDIA, K. Incident Response & Computer Forensics. 3. ed. New York: MacGraw Hill, 2014. SHOSTACK, A. Threat Modeling: Designing for Security. New York: Wiley 2014.
STAMP, M. Information Security: Principles and Practice. 2. ed. New York: Willey, 2011."	Desenvolvimento de Software
15,5	Trabalho de Conclusão de Curso (TCC)	2	Desenvolver pesquisa sobre um assunto de interesse, vinculado à Ciência de Dados. O resultado do trabalho deverá ser a apresentação de uma monografia ou artigo.	Atividades de pesquisa na área de Ciência de Dados que favoreça uma visão ampla das disciplinas ofertadas ao longo do curso, articulando os conhecimentos adquiridos com o processo de investigação e reflexão acerca do tema estabelecido.	"Chegamos no TCC, e agora?
Escolhendo um tema
Delimitação do tema e objetivos
Material e Métodos
Coleta de Dados
Análise, discussão dos resultados e considerações finais
Revisão final"	"ACEVEDO, Claudia Rosa. Como fazer monografias: TCC, dissertações e teses. São Paulo: Atlas, 2013..
FLICK, Uwe. Introdução à metodologia de pesquisa: um guia para iniciantes. Porto Alegre: Penso, 2012.
DEMO, P. Pesquisa e informação qualitativa: aportes metodológicos. Campinas: Papirus, 2012."	"ALMEIDA, Mário de Souza. Elaboração de projeto, TCC, dissertação e tese: uma abordagem simples, prática e objetiva. São Paulo: Atlas, 2014.
GIL, Antonio Carlos. Metodologia do ensino superior. 4. ed. São Paulo: Atlas, 2011."	Gestão do TCC, Pesquisa Acadêmica
16	Eletiva	1						Não Atribuído
